multiplier,bandwidth_mean,seed,ise,test_loglik
0.2,0.12141157031220834,20252026,0.005273410072962801,-3.824324724878543
0.2,0.12089616332878422,20252027,0.005054244404801817,-3.740196653981991
0.2,0.12318911246243003,20252028,0.004861090379054749,-3.6700120752579015
0.2,0.12140600509719429,20252029,0.005305796405321315,-3.6896676383172964
0.2,0.12034512608780892,20252030,0.005916772381086234,-3.711336598511293
0.35,0.21247024804636458,20252026,0.001784731206165864,-3.5523728571231437
0.35,0.2115682858253724,20252027,0.001747904701111849,-3.5274674952290805
0.35,0.21558094680925252,20252028,0.001506160508396767,-3.4994025663547266
0.35,0.21246050892008997,20252029,0.001884354038362224,-3.506457208596581
0.35,0.2106039706536656,20252030,0.002050773963381827,-3.5112598842931106
0.5,0.3035289257805208,20252026,0.0011916914839321087,-3.5039410248791873
0.5,0.30224040832196053,20252027,0.0011474985978579691,-3.491832051549139
0.5,0.30797278115607507,20252028,0.0009064955794880777,-3.4773914774467114
0.5,0.3035150127429857,20252029,0.0012182327962293343,-3.4788923402361673
0.5,0.3008628152195223,20252030,0.001206724392909847,-3.475766633499414
0.7,0.42494049609272916,20252026,0.0014976422384113338,-3.5005033523803943
0.7,0.4231365716507448,20252027,0.0014279828520703953,-3.494132349901155
0.7,0.43116189361850504,20252028,0.001206384814120757,-3.4861487646320937
0.7,0.42492101784017994,20252029,0.001468160854111934,-3.485209437340586
0.7,0.4212079413073312,20252030,0.0012897855373287612,-3.476255110791326
1.0,0.6070578515610416,20252026,0.00326527846743962,-3.54308256873283
1.0,0.6044808166439211,20252027,0.0031472451531999223,-3.539851168907826
1.0,0.6159455623121501,20252028,0.003006498934347384,-3.536294289201513
1.0,0.6070300254859714,20252029,0.0031968933859656463,-3.533981211960592
1.0,0.6017256304390446,20252030,0.0028783751950476953,-3.520289681948506
1.4,0.8498809921854583,20252026,0.0070239902460081036,-3.647846931689669
1.4,0.8462731433014896,20252027,0.0068797814617085895,-3.6451611946452167
1.4,0.8623237872370101,20252028,0.0068500657814065105,-3.6463611329647265
1.4,0.8498420356803599,20252029,0.006929389042734059,-3.6434341422999292
1.4,0.8424158826146624,20252030,0.006544643218563988,-3.624570425932387
2.0,1.2141157031220833,20252026,0.013100556593552134,-3.844870685531584
2.0,1.2089616332878421,20252027,0.012977513089472894,-3.8408821051892534
2.0,1.2318911246243003,20252028,0.013105007389081776,-3.8500859722446226
2.0,1.2140600509719428,20252029,0.013053596949859136,-3.8449260412921187
2.0,1.2034512608780892,20252030,0.012676877384988544,-3.822388939359182
3.0,1.8211735546831251,20252026,0.020433818488954616,-4.159362245873182
3.0,1.8134424499317634,20252027,0.020342664093626096,-4.1537844133429775
3.0,1.8478366869364504,20252028,0.0206319252846298,-4.173774464644607
3.0,1.8210900764579143,20252029,0.020471746614734866,-4.162231623287656
3.0,1.8051768913171338,20252030,0.02017897560458035,-4.141160156069484
5.0,3.0352892578052084,20252026,0.027782768619729295,-4.656866554688153
5.0,3.0224040832196053,20252027,0.027709918467692045,-4.651108713640455
5.0,3.0797278115607503,20252028,0.028008816789877995,-4.6802551378357915
5.0,3.0351501274298567,20252029,0.027790489226281363,-4.658944267990544
5.0,3.008628152195223,20252030,0.027626360942794286,-4.641468330850579
